OverallQual,GrLivArea,GarageCars,TotalBsmtSF,YearBuilt,FullBath,1stFlrSF,TotRmsAbvGrd,SalePrice
8,3112,2,1360,1918,2,1360,8,235000
6,2229,0,755,1912,1,929,8,104000
8,1713,3,1713,2004,2,1713,7,274900
4,1121,2,1121,2003,2,1121,5,140000
6,1279,2,1196,1977,2,1279,6,171500
6,1310,1,617,1924,2,865,6,112000
6,848,2,848,2004,1,848,3,149000
5,1284,1,720,1947,1,720,5,110000
7,1442,2,1424,1990,2,1442,5,180500
5,1696,1,1140,1962,1,1696,8,143900
4,1100,1,1100,1960,1,1100,6,141000
7,2062,2,1157,1988,2,1180,7,277000
6,1092,2,1092,1964,1,1092,6,145000
5,864,0,864,1925,1,864,5,98000
6,1212,2,1212,2009,2,1212,6,186000
7,1852,2,900,2009,2,932,7,252678
5,990,2,990,1995,1,990,5,156000
6,1392,1,689,1977,1,689,6,161750
5,1236,1,1070,1957,1,1236,6,134450
7,1436,2,1436,2004,2,1436,8,210000
4,1328,1,686,1925,1,810,8,107000
7,1954,2,798,1939,1,1137,8,311500
7,1248,2,1248,2005,2,1248,5,167240
7,1498,2,1498,2006,2,1498,5,204900
6,2267,2,1010,2002,2,1010,8,200000
6,1552,2,713,1975,2,811,6,179900
4,864,2,864,1971,1,864,4,97000
10,2392,3,2392,2003,2,2392,8,386250
5,1302,1,630,1971,2,630,6,112000
7,2520,3,1203,1995,2,1214,9,290000
6,987,1,483,1970,1,483,5,106000
5,912,1,912,1967,1,912,5,125000
7,1555,2,1373,2005,2,1555,7,192500
6,1194,1,1194,1959,1,1194,6,148000
8,2794,3,1462,1995,2,1490,9,403000
6,987,1,483,1972,1,483,5,94500
5,894,1,894,1976,1,894,5,128200
6,1960,2,860,2002,2,860,8,216500
6,987,1,483,1971,1,483,5,89500
7,1414,2,1414,2004,2,1414,6,185500
7,1744,2,996,1993,2,1014,7,194500
8,1694,3,1694,2007,2,1694,7,318000
6,1487,1,735,1945,1,798,7,113000
8,1566,2,1566,2008,2,1566,7,262500
5,866,0,686,1945,1,866,4,110500
5,1440,1,540,1900,1,889,6,79000
6,1217,1,626,1980,1,626,6,120000
7,2110,2,948,1994,2,1222,8,205000
7,1872,2,1845,1988,2,1872,6,241500
6,1928,1,1020,1910,2,908,9,137000
6,1375,2,1367,1954,1,1375,5,140000
7,1668,2,840,2003,2,840,8,180000
6,2144,2,1444,1958,2,1444,7,277000
3,1306,0,728,1940,1,1306,6,76500
8,1625,2,1573,2006,2,1625,5,235000
6,1640,2,798,2004,2,798,6,173000
6,1302,1,1302,1964,2,1302,7,158000
5,1314,1,1314,1957,1,1314,5,145000
7,2291,2,975,1999,2,1005,8,230000
6,1728,2,864,2003,2,864,7,207500
7,1604,2,1604,2006,2,1604,8,220000
7,1792,2,963,2001,2,963,7,231500
5,882,1,0,1956,1,882,4,97000
6,1382,2,1362,1962,1,1382,6,176000
8,2574,3,1482,2007,2,1482,10,276000
6,1212,2,506,1977,1,1212,6,151000
5,1316,2,926,1929,1,926,6,130000
5,764,2,680,1925,1,764,4,73000
6,1422,2,1422,1981,2,1422,7,175500
6,1511,2,802,1997,2,802,8,185000
5,2192,1,720,1939,2,1052,8,179500
5,778,1,740,1940,1,778,4,120500
6,1113,1,1143,1976,1,1113,6,148000
8,1939,3,1095,2006,2,1095,8,266000
7,1363,2,1385,1954,1,1363,5,241500
8,2270,3,1152,1999,2,1164,9,290000
6,1632,1,1240,1958,2,1632,6,139000
5,816,1,816,1982,1,816,5,124500
7,1548,2,952,1925,2,952,5,205000
7,1560,2,1560,2003,2,1560,7,201000
4,864,2,864,1951,1,864,4,141000
9,2121,3,2121,2006,2,2121,8,415298
7,2022,2,1160,1977,2,1156,8,192000
7,1982,2,807,1989,2,1175,7,228500
6,1262,2,1262,2006,2,1262,5,185000
7,1314,2,1314,2007,2,1314,6,207500
8,1468,3,1468,2008,2,1468,6,244600
6,1575,2,1575,1992,2,1575,5,179200
7,1250,2,625,2006,2,625,5,164700
6,1734,2,912,1962,1,1085,7,159000
4,858,0,858,1971,1,858,5,88000
5,900,1,882,1967,1,900,5,122000
6,1396,1,698,1915,1,698,7,153575
8,1919,2,1079,2006,2,1079,8,233230
5,1716,0,780,1912,2,936,9,135900
5,1716,1,768,1949,1,1148,8,131000
7,2263,2,795,1977,2,1468,9,235000
6,1644,2,1416,1953,1,1644,7,167000
6,1003,2,1003,1984,1,1003,6,142500
5,1558,1,910,1950,1,910,6,152000
7,1950,2,975,1997,2,975,7,239000
6,1743,2,702,1968,1,1041,7,175000
6,1152,1,1092,1950,1,1152,6,158500
5,1336,1,1165,1953,1,1336,5,157000
8,2452,2,1028,1998,2,1210,9,267000
7,1541,3,1541,2001,2,1541,6,205000
5,894,2,894,1972,1,894,5,149900
7,3493,3,1470,1880,3,1675,10,295000
8,2000,3,2000,2004,2,2000,8,305900
7,2243,3,700,1990,2,1122,8,225000
6,1406,0,319,1920,1,1035,6,89500
4,861,2,861,1940,1,861,4,82500
9,1944,3,1896,2003,2,1944,8,360000
6,1501,2,697,1993,2,697,6,165600
6,972,1,972,1948,1,972,5,132000
5,1118,2,793,1939,1,793,5,119900
7,2036,2,2136,1965,2,2036,8,375000
7,1641,2,728,1925,1,832,6,178000
7,1432,2,716,2004,2,716,6,188500
7,2353,2,845,1980,2,1153,10,260000
8,1959,3,1088,2006,2,1088,8,270000
7,2646,3,1347,1993,2,1372,9,260000
7,1472,2,1372,1980,2,1472,6,187500
9,2596,3,1249,2006,3,1249,9,342643
8,2468,3,1136,2004,2,1136,10,354000
7,2730,2,1502,1986,2,1553,8,301000
3,1163,1,1162,1955,1,1163,6,126175
7,2978,2,710,1967,2,1898,11,242000
5,803,2,720,1941,1,803,5,87000
8,1719,2,1719,1993,1,1719,6,324000
6,1383,1,1383,1960,1,1383,7,145250
6,2134,2,844,1916,2,1445,10,214500
5,1192,1,596,1920,1,596,6,78000
5,1728,1,1728,1964,2,1728,10,119000
5,1056,1,1056,1958,1,1056,6,139000
8,1629,3,3206,2003,2,1629,7,284000
7,1358,2,1358,2004,2,1358,6,207000
6,1638,2,943,1998,2,943,7,192000
5,1786,2,1499,1965,2,1619,7,228950
9,1922,3,1922,2005,2,1922,8,377426
7,1536,2,1536,2002,2,1536,7,214000
7,1621,2,1208,1984,2,1621,8,202500
6,1215,1,1215,1958,1,1215,6,155000
8,1908,2,967,2002,2,993,9,202900
4,841,1,721,1950,1,841,4,82000
3,1040,2,0,1949,2,1040,6,87500
9,1684,2,1684,2005,2,1684,6,266000
5,1112,1,536,1976,1,536,4,85000
6,1577,1,972,1939,1,972,6,140200
6,958,1,958,1960,1,958,5,151500
6,1478,2,1478,1960,2,1478,6,157500
7,1626,2,764,2003,2,764,6,154000
9,2728,3,1848,2005,2,1848,10,437154
9,1869,2,1869,2007,2,1869,6,318061
7,1453,2,1453,1986,1,1453,6,190000
5,1111,1,616,1941,1,616,5,95000
6,720,2,624,1928,1,720,5,105900
6,1595,1,940,1940,1,1192,6,140000
6,1200,2,1200,1995,2,1200,6,177500
6,1167,2,1158,1992,2,1167,6,173000
5,1142,2,1142,1976,1,1142,6,134000
5,1352,1,1062,1958,1,1352,6,130000
8,1924,2,1086,1998,2,1086,7,280000
6,912,2,888,1978,1,912,5,156000
5,1505,1,883,1940,1,988,8,145000
7,1922,2,0,2003,3,495,7,198500
6,987,1,483,1972,1,483,5,118000
6,1574,2,796,1976,2,790,6,190000
5,1344,1,672,1920,1,672,6,147000
6,1394,2,1394,1963,1,1394,6,159000
6,1431,1,1099,1962,1,1431,6,165000
5,1268,1,1268,1954,1,1268,7,132000
5,1287,2,1063,1959,1,1287,7,162000
6,1664,2,953,2000,2,953,7,172400
4,1588,2,0,1959,2,1120,7,134432
6,752,1,744,1984,1,752,4,125000
5,1319,1,608,1953,1,1319,5,123000
7,1928,2,847,2003,2,847,8,219500
1,904,0,683,1922,0,904,4,61000
5,914,2,870,1996,1,914,5,148000
8,2466,2,1580,2004,3,1580,8,340000
9,1856,3,1856,2010,1,1856,8,394432
6,1800,2,982,2000,2,1007,7,179000
5,1691,1,1026,1924,2,1026,6,127000
7,1301,2,1293,2006,2,1301,5,187750
7,1797,2,939,2006,2,939,8,213500
6,784,2,784,1928,1,784,5,76000
6,1953,2,1580,1992,2,1079,9,240000
8,1269,2,1256,2004,2,1269,6,192000
5,1184,0,658,1910,1,658,8,81000
6,1125,1,1041,1976,1,1125,6,125000
7,1479,2,1468,1999,2,1479,6,191000
10,2332,3,1682,2007,2,1742,9,426000
5,1367,1,861,1900,1,961,7,119000
6,1961,2,804,2001,2,804,7,215000
5,882,1,0,1959,1,882,5,106500
4,788,0,788,1941,1,788,4,100000
5,1034,1,735,1940,1,735,5,109000
5,1144,1,1144,1956,1,1144,6,129000
5,894,2,894,1972,1,894,6,123000
5,1812,1,864,1962,2,876,8,169500
5,1077,1,961,1920,1,1077,6,67000
7,1550,2,1092,2006,2,1112,7,241000
8,1288,2,1260,1996,1,1288,4,245500
7,1310,2,1310,2005,2,1310,6,164990
5,672,1,672,1940,1,672,4,108000
8,2263,2,1141,1998,2,1165,10,258000
6,1572,2,806,1995,2,806,7,168000
4,1620,2,1281,1976,2,1620,8,150000
6,1639,1,1064,1936,1,1166,6,115000
6,1680,1,840,1915,2,840,8,177000
7,2172,3,1063,2006,2,1071,9,280000
8,2078,3,1034,2007,2,1050,8,339750
5,1276,1,1276,1958,1,1276,5,60000
5,1056,2,1056,1955,1,1056,5,145000
7,1478,2,1470,2009,2,1478,7,222000
5,1028,2,1008,1927,1,1028,5,115000
7,2097,3,1080,1993,2,1080,9,228000
7,1340,2,1340,2007,2,1340,6,181134
6,1400,2,672,1978,1,672,6,149500
6,2624,3,1370,1918,2,1370,10,239000
5,1134,1,756,1940,1,756,7,126000
5,1056,1,1056,1968,1,1056,6,142000
7,1344,4,1344,1997,2,1344,8,206300
6,1602,2,1602,1977,2,1602,8,215000
5,988,2,988,1954,1,988,4,113000
8,2630,3,1470,1998,2,1470,8,315000
6,1196,1,1196,1956,1,1196,6,139000
7,1389,1,651,1946,1,707,6,135000
7,1644,2,1518,1989,2,1644,5,275000
4,907,1,907,1957,1,907,5,109008
7,1208,2,1208,2007,2,1208,6,195400
6,1412,2,1392,1988,2,1412,6,175000
6,987,1,483,1971,1,483,4,85400
6,1198,0,901,1920,1,1088,7,79900
5,1365,2,765,1971,1,765,6,122500
6,1604,2,926,1997,2,926,7,181000
4,630,0,630,1972,1,630,3,81000
7,1661,2,799,1996,2,827,6,212000
6,1118,2,648,1920,1,734,6,116000
6,904,1,884,1926,1,904,4,119000
5,694,1,440,1913,1,694,4,90350
6,1196,2,684,1920,1,684,7,110000
10,2402,3,3094,2008,2,2402,10,555000
4,1440,0,1440,1955,2,1440,8,118000
5,1573,2,1078,1930,2,1128,8,162900
7,1258,3,1258,2006,2,1258,6,172500
7,1908,2,915,1994,2,933,8,210000
6,1689,2,1436,1956,1,1689,7,127500
6,1888,2,1517,1966,2,1888,6,190000
7,1886,2,930,1998,2,956,10,199900
6,1376,1,780,1937,2,780,7,119500
3,1183,1,649,1948,1,679,6,120000
6,813,1,813,1930,1,813,5,110000
7,1533,2,1533,1975,2,1533,5,280000
6,1756,2,872,1996,2,888,7,204000
8,1590,2,768,2008,2,786,6,210000
5,1728,2,1728,1976,2,1728,8,188000
7,1242,2,1242,1973,1,1242,6,175500
5,1344,3,624,1916,1,624,7,98000
4,1663,2,1364,1954,1,1663,6,256000
8,1666,1,588,1925,1,833,7,161000
5,1203,1,709,1950,1,979,5,110000
8,1935,2,832,2009,2,832,8,263435
7,1135,2,560,1936,1,575,6,155000
5,864,1,864,1965,1,864,5,62383
6,1660,1,715,1934,1,849,6,188700
5,1040,0,1040,1978,2,1040,5,124000
7,1414,2,1375,2004,2,1414,6,178740
7,1277,2,1277,1970,1,1277,5,167000
5,1644,1,728,1942,1,888,7,146500
8,1634,3,1626,2006,2,1634,7,250000
6,1710,2,832,1993,2,832,7,187000
8,1502,2,1488,1985,1,1502,4,212000
7,1969,2,808,1977,2,1161,8,190000
6,1072,2,547,2005,1,1072,5,148000
8,1976,3,1976,2006,2,1976,7,440000
8,1652,2,1494,2000,2,1652,6,251000
5,970,2,970,1963,1,970,5,132500
6,1493,2,1478,1997,2,1493,7,208900
9,2643,3,2153,2006,2,2069,9,380000
8,1718,3,1705,2007,2,1718,7,297000
4,1131,2,907,1937,1,1131,7,89471
9,1850,3,1833,2004,2,1850,8,326000
9,1792,3,1792,2003,2,1792,6,374000
7,1826,1,910,1915,1,916,7,155000
6,1216,2,1216,1998,2,1216,5,164000
5,999,1,999,1962,1,999,6,132500
5,1113,1,1113,1950,1,1113,5,147000
5,1073,2,1073,1965,1,1073,6,156000
5,1484,2,1484,1971,2,1484,7,175000
5,2414,2,954,1900,2,1766,10,160000
4,630,1,630,1970,1,630,3,86000
5,1304,1,264,1976,1,616,4,115000
6,1578,1,806,1941,1,958,5,133000
6,1456,2,728,2006,2,728,8,172785
5,1269,1,1269,1960,1,1269,6,155000
5,886,1,190,1938,1,886,4,91300
4,720,0,720,1920,1,720,4,34900
8,3228,2,3200,1992,3,3228,10,430000
7,1820,1,1026,1925,2,1133,8,184000
5,899,1,864,1967,1,899,5,130000
5,912,1,912,1958,1,912,5,120000
6,1218,1,672,1973,1,672,7,113000
7,1768,2,866,2005,2,866,7,226700
5,1214,2,1214,1965,1,1214,6,140000
7,1801,2,1501,1959,2,1801,6,289000
6,1322,2,855,1974,2,855,6,147000
5,1960,2,960,1952,2,960,10,124500
8,1911,2,777,1993,2,1065,8,215000
6,1218,2,1218,2009,2,1218,4,208300
7,1378,2,689,1928,2,689,7,161000
5,1041,1,1041,1959,1,1041,6,124500
5,1363,1,1008,1951,1,1363,6,164900
7,1368,2,1368,2005,2,1368,6,202665
5,864,2,864,1958,1,864,5,129900
6,1080,2,1084,1983,1,1080,5,134000
5,789,1,768,1926,1,789,5,96500
10,2020,3,2006,2009,2,2020,9,402861
6,2119,2,689,1972,2,1378,7,158000
7,2344,3,1264,1996,2,1277,7,265000
6,1796,2,794,1998,2,882,7,211000
7,2080,1,1276,1926,1,1276,9,234000
4,1294,0,0,1900,2,694,7,106250
6,1244,1,1244,1957,1,1244,6,150000
6,1664,2,1004,1947,2,1004,7,159000
10,4676,3,3138,2007,3,3138,11,184750
7,2398,3,1379,1996,2,1383,8,315750
7,1266,2,1257,2005,2,1266,6,176000
5,928,1,928,1956,1,928,4,132000
9,2713,3,1452,2008,2,1476,11,446261
4,605,0,528,1920,1,605,5,86000
6,2515,2,2035,1957,3,2515,9,200624
6,1509,2,1461,1988,2,1509,5,175000
6,1362,2,611,1920,2,751,6,128000
5,827,1,0,1955,1,827,5,107500
1,334,0,0,1946,1,334,2,39300
8,1414,2,707,2004,2,707,6,178000
5,1347,0,1117,1910,1,820,5,107500
7,1724,2,880,1998,2,880,8,188000
4,864,2,864,1972,1,864,5,111250
5,1159,1,1051,1968,1,1159,7,158000
8,1601,2,1581,2001,2,1601,6,272000
9,1838,3,1838,2006,2,1838,8,315000
8,2285,3,969,2000,2,997,8,248000
7,1680,2,1650,1998,2,1680,7,213250
7,767,1,723,1998,1,767,4,133000
7,1496,2,654,2006,2,664,7,179665
7,2183,3,1204,1988,2,1377,9,229000
6,1635,2,1065,1923,1,915,6,210000
5,768,2,768,1970,1,768,5,129500
5,825,2,825,1955,1,825,4,125000
7,2094,2,912,2003,2,912,8,263000
6,1069,2,1069,1977,2,1069,4,140000
5,928,1,928,1957,1,928,5,112500
8,1717,3,1709,2006,2,1717,7,255500
4,1126,2,0,1949,2,1126,5,108000
7,2046,3,998,2003,2,1006,8,284000
5,1048,1,993,1922,1,1048,5,113000
5,1092,1,1092,1957,1,1092,6,141000
4,1336,1,637,1920,1,897,7,108000
7,1446,2,729,1996,2,729,6,175000
7,1557,2,1374,2003,2,1557,7,234000
5,1392,2,1392,1957,1,1392,5,121500
5,1389,2,1389,1974,1,1389,6,170000
5,996,0,996,1940,1,996,6,108000
6,1674,2,1163,1918,2,1163,8,185000
7,2295,2,1095,1992,2,1166,9,268000
6,1647,1,806,1915,1,841,6,128000
9,2504,3,1122,2005,2,1134,11,325000
7,1535,2,1517,2004,2,1535,7,214000
8,2132,2,1496,1983,1,1496,5,316600
5,943,2,943,1979,1,943,4,135960
5,1728,2,1728,1965,2,1728,10,142600
6,864,1,864,1959,1,864,4,120000
7,1692,2,846,2009,2,846,6,224500
7,1430,2,384,2000,2,774,8,170000
5,1109,1,372,1971,1,576,5,139000
5,1216,1,832,1947,1,832,6,118500
7,1477,1,861,1928,2,877,6,145000
5,1320,2,1164,1966,1,1320,6,164500
7,1392,2,689,2007,2,703,5,146000
5,1795,1,1050,1954,2,1050,7,131500
6,1429,2,1144,1960,1,1429,7,181900
8,2042,3,2042,2008,2,2042,8,253293
6,816,0,816,1990,1,816,5,118500
10,2775,2,1237,1893,3,1521,9,325000
4,1573,1,884,1935,1,989,6,133000
8,2028,3,1868,2005,2,2028,7,369900
6,838,1,816,1918,1,838,5,130000
5,860,2,840,1982,1,860,4,137000
5,1473,1,1437,1968,1,1473,5,143000
5,935,1,742,1930,1,779,4,79500
7,1582,2,770,2004,2,770,6,185900
10,2296,3,1722,2008,2,1728,10,451950
5,816,2,816,1982,1,816,4,138000
6,848,2,848,2003,1,848,4,140000
5,924,1,924,1975,1,924,5,110000
8,1826,3,1814,2005,2,1826,7,319000
6,1368,1,684,1910,1,684,7,114504
7,1402,3,1258,2006,0,1402,7,194201
5,1647,2,1430,1977,2,1647,7,217500
6,1556,2,716,1980,2,716,6,151000
8,1904,2,1058,2005,2,1058,8,275000
6,1375,1,780,1937,1,780,6,141000
8,1915,2,908,1992,2,927,8,220000
7,1200,2,600,2004,2,600,4,151000
7,1494,2,1494,2002,2,1494,6,221000
7,1986,2,768,1965,2,1186,7,205000
5,1040,2,1040,1996,1,1040,6,152000
5,2008,1,896,1948,3,1112,8,225000
8,3194,2,965,1934,2,1940,10,359100
4,1029,1,1029,1961,1,1029,5,118500
9,2153,3,1440,2000,2,1476,8,313000
6,1032,2,1032,1978,2,1032,6,148000
8,1872,2,1299,2001,2,1299,7,261500
5,1120,0,1120,2007,1,1120,6,147000
4,630,0,630,1972,1,630,3,75500
6,1054,2,936,1963,1,1054,6,137500
6,1509,2,783,2002,2,807,7,183200
6,832,2,832,1954,1,832,4,105500
9,1828,3,1822,2007,2,1828,9,314813
8,2262,3,1482,2003,2,1482,10,305000
3,864,0,864,1914,1,864,5,67000
6,2614,2,1522,1974,2,1548,9,240000
5,980,2,980,1977,1,980,6,135000
6,1512,2,756,2000,2,756,4,168500
6,1790,2,732,1972,1,1012,8,165150
6,1116,2,1116,1962,1,1116,5,160000
5,1422,1,978,1960,1,1422,6,139900
6,1520,1,1156,1955,1,1520,7,153000
5,2080,2,1040,1969,1,1040,9,135000
6,1350,2,1248,1964,1,1350,6,168500
5,1750,1,636,1880,1,1089,8,124000
